ticker,weight
TAK,0.06000005140692562
EN.PA,0.05061216751039725
CS.PA,0.0504720289093457
VIE.PA,0.0502810515649676
ACA.PA,0.05017920796391054
DHL.DE,0.05014141388833529
AMX,0.04997146024839337
BNP.PA,0.049800203547477224
HMC,0.04963370630548227
ERIC,0.04943339146556937
PBR-A,0.04939381930699804
ZTO,0.04936602604139988
EC,0.0492281570221118
TIGO,0.04910376709054226
GFI,0.049003833703040046
VALE,0.048843461323519
UMC,0.048821580425431214
MGA,0.04867129682309912
ASX,0.048660695295481886
HTHT,0.048382680157572466
